run,proxy,no-proxy
1,164.045,43.916
2,66.783,22.1071
3,61.702,57.894
4,81.991,22.8121
5,186.272,17.4148
6,78.567,24.4589
7,64.7562,17.6249
8,130.494,19.243
9,62.6402,101.839
10,64.3821,21.672
11,64.0719,23.3788
12,60.533,18.559
13,75.0089,18.9359
14,63.792,22.608
15,106.343,16.8021
16,108.981,19.1071
17,75.4499,19.5479
18,81.5239,21.3192
19,65.9151,19.419
20,64.445,24.1148
21,73.895,19.0029
22,72.6428,24.895
23,63.4911,18.1601
24,64.96,22.5761
25,159.836,20.3249
26,65.3088,169.732
27,78.1059,17.7891
28,102.407,23.201
29,71.177,20.781
30,63.91,26.9661
31,63.4179,15.162
32,74.7259,22.9771
33,58.0211,22.1069
34,71.224,25.599
35,82.4728,20.2858
36,61.6419,19.115
37,69.8912,21.2181
38,58.953,29.861
39,70.0269,23.329
40,79.206,19.403
41,65.7239,20.299
42,68.49,22.4431
43,63.1762,17.1978
44,76.6811,13.968
45,63.261,20.8011
46,62.6061,21.102
47,72.562,20.4382
48,66.638,21.2278
49,66.69,14.715
50,130.361,19.47
51,66.6981,17.6032
52,69.3121,22.439
53,66.0639,18.3671
54,65.6869,18.8231
55,81.7661,23.186
56,58.1188,14.606
57,68.0399,17.694
58,62.9089,24.0078
59,62.465,17.6361
60,72.222,101.548
61,126.849,18.9879
62,66.71,17.992
63,60.065,21.955
64,150.777,13.967
65,65.4509,18.9269
66,83.0529,14.6351
67,66.2298,19.6838
68,76.261,22.28
69,65.6199,23.3831
70,62.9189,20.8972
71,66.6649,18.075
72,69.999,14.6089
73,66.0589,21.775
74,62.7081,17.9498
75,73.5199,15.6629
76,82.288,19.0179
77,65.0439,19.989
78,67.6899,16.8741
79,69.9449,18.321
80,66.56,22.9218
81,88.522,21.7791
82,90.8461,13.6969
83,71.2459,18.084
84,58.29,21.2691
85,56.5698,17.432
86,66.3028,18.6589
87,67.188,22.486
88,63.2398,18.8859
89,64.9219,24.0898
90,72.6721,21.0409
91,67.167,25.0771
92,65.6159,23.2329
93,76.3528,22.208
94,77.1389,25.7051
95,105.121,22.6829
96,116.144,19.2649
97,72.289,18.641
98,76.1051,19.104
99,62.4249,19.0639
100,63.3111,18.4009
101,93.086,30.9181
102,80.085,17.961
103,89.1161,26.9351
104,94.425,25.867
105,112.406,42.7721
106,84.4252,27.7619
107,93.3681,24.1649
108,97.455,14.956
109,77.076,24.5919
110,95.3078,16.2768
111,111.582,21.0788
112,82.402,21.0769
113,84.2829,19.186
114,79.9541,14.3831
115,81.7161,21.976
116,88.531,23.025
117,76.5769,15.7909
118,90.8549,18.6851
119,87.2259,20.057
120,76.751,23.442
121,114.187,19.47
122,80.2789,23.6568
123,84.4102,18.7652
124,86.1511,23.5221
125,92.139,20.771
126,78.289,22.2518
127,104.387,19.707
128,111.018,14.1461
129,158.215,23.355
130,88.68,21.502
131,91.295,22.14
132,88.69,22.5291
133,79.8378,18.0261
134,98.654,22.557
135,83.847,18.8739
136,76.504,25.368
137,92.562,22.1989
138,99.998,26.4301
139,90.7469,19.068
140,84.5239,27.7529
141,81.847,24.2569
142,82.468,24.013
143,73.0789,24.581
144,77.774,18.2829
145,72.6151,15.4121
146,117.666,27.112
147,86.066,17.9629
148,94.8989,47.0378
149,76.4921,22.9502
150,87.0922,22.372
151,84.7609,15.9032
152,85.768,24.1151
153,87.1749,19.892
154,83.9102,22.826
155,83.652,18.6081
156,80.6191,15.9762
157,74.858,17.6511
158,74.3232,20.982
159,80.9011,22.0282
160,83.194,19.6631
161,78.758,20.53
162,98.8159,19.269
163,94.3871,25.6371
164,70.595,23.8559
165,73.544,19.1779
166,85.4108,17.3311
167,72.156,18.4381
168,98.7101,19.3508
169,122.774,23.2391
170,145.242,23.0319
171,79.412,23.7701
172,83.2222,14.8959
173,82.1581,15.5878
174,100.126,16.762
175,88.8588,23.4199
176,85.1581,20.112
177,76.4382,14.1699
178,82.0708,27.617
179,89.344,19.367
180,81.3611,17.765
181,81.79,19.0201
182,84.41,22.0029
183,118.287,24.138
184,86.436,20.6912
185,111.644,17.0081
186,90.378,18.6951
187,82.886,19.8951
188,75.202,14.3211
189,78.6359,18.718
190,80.6689,22.2979
191,73.73,18.5561
192,80.698,22.819
193,92.9,14.4341
194,80.394,28.9471
195,127.656,19.382
196,97.1019,18.3549
197,99.3321,22.887
198,85.9661,14.431
199,81.686,14.364
200,78.9871,18.213
